Metric,Base,LoRA,Δ (LoRA−Base)
ROUGE-1 (F1),0.2594,0.7026,+0.4432
ROUGE-2 (F1),0.0973,0.5234,+0.4262
ROUGE-L (F1),0.2185,0.6736,+0.4551
ROUGE-Lsum (F1),0.2272,0.6736,+0.4464
BLEU-1,0.1751,0.6677,+0.4927
BLEU-2,0.1027,0.5890,+0.4863
BLEU-4,0.0476,0.4537,+0.4062
SacreBLEU (corpus),3.3639,41.2131,+37.8492
METEOR,0.2770,0.6645,+0.3876
BERTScore Precision,0.8429,0.9562,+0.1133
BERTScore Recall,0.8822,0.9517,+0.0695
BERTScore F1,0.8617,0.9537,+0.0920
Exact Match (%),0.0000,26.8000,+26.8000
Token F1,0.2752,0.7315,+0.4564
Numeric Extraction Acc,0.1574,0.6183,+0.4609
Avg Pred Length (tok),65.9000,17.2000,-48.7000
Avg Ref Length (tok),19.1320,19.1320,+0.0000
Length Ratio (pred/ref),3.4445,0.8990,-2.5455
Avg Inference Time (s),3.6895,1.3319,-2.3577
Total Inference Time (min),15.3730,5.5495,-9.8236
