Metric,Base,LoRA,Δ (LoRA−Base)
ROUGE-1 (F1),0.3854,0.5591,+0.1737
ROUGE-2 (F1),0.2277,0.3758,+0.1480
ROUGE-L (F1),0.3078,0.4797,+0.1719
ROUGE-Lsum (F1),0.3157,0.4803,+0.1646
BLEU-1,0.2757,0.4751,+0.1994
BLEU-2,0.2061,0.3796,+0.1735
BLEU-4,0.1386,0.2798,+0.1412
SacreBLEU (corpus),6.5888,22.5752,+15.9863
METEOR,0.4178,0.4904,+0.0726
BERTScore Precision,0.8756,0.9356,+0.0600
BERTScore Recall,0.9141,0.9224,+0.0083
BERTScore F1,0.8939,0.9286,+0.0347
Exact Match (%),1.6000,2.4000,+0.8000
Token F1,0.4185,0.5781,+0.1596
Numeric Extraction Acc,0.7110,0.6564,-0.0546
Avg Pred Length (tok),105.5200,27.5480,-77.9720
Avg Ref Length (tok),33.8520,33.8520,+0.0000
Length Ratio (pred/ref),3.1171,0.8138,-2.3033
Avg Inference Time (s),5.8183,2.0495,-3.7688
Total Inference Time (min),24.2427,8.5394,-15.7034
